{'val_loss': 0.8212036590491022, 'train_loss': 1.7874764008924269, 'accuracy': 0.6137478947639465, 'similarity': 0.8430725336074829, 'fluency': 0.7912228107452393, 'joint': 0.40656283497810364, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.747133766753333, 'train_loss': 0.7944375777210189, 'accuracy': 0.7049398422241211, 'similarity': 0.849453330039978, 'fluency': 0.8274324536323547, 'joint': 0.4980296790599823, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.7570022427609988, 'train_loss': 0.6097684108854285, 'accuracy': 0.7516306042671204, 'similarity': 0.833149790763855, 'fluency': 0.813105583190918, 'joint': 0.515418291091919, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.7909512300576482, 'train_loss': 0.44935850861932874, 'accuracy': 0.7599480152130127, 'similarity': 0.8300167322158813, 'fluency': 0.8391241431236267, 'joint': 0.5401402115821838, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.8249658686774117, 'train_loss': 0.3438816952271348, 'accuracy': 0.7801446914672852, 'similarity': 0.8205245733261108, 'fluency': 0.8267948031425476, 'joint': 0.5398793816566467, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.887724785719599, 'train_loss': 0.27313127525005737, 'accuracy': 0.7804430723190308, 'similarity': 0.8289406895637512, 'fluency': 0.8531928658485413, 'joint': 0.560431718826294, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.9032523429819516, 'train_loss': 0.22491975647559162, 'accuracy': 0.7754603028297424, 'similarity': 0.8083876371383667, 'fluency': 0.8289171457290649, 'joint': 0.5282084345817566, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.9510508914078984, 'train_loss': 0.18894855725218387, 'accuracy': 0.7703973054885864, 'similarity': 0.8228321671485901, 'fluency': 0.8283559083938599, 'joint': 0.5372437238693237, 'chrf': 9.999999999999843e-17}
{'val_loss': 0.9769101162041937, 'train_loss': 0.16069037737170397, 'accuracy': 0.7863906025886536, 'similarity': 0.8128589391708374, 'fluency': 0.8309831023216248, 'joint': 0.5427762269973755, 'chrf': 9.999999999999843e-17}
{'val_loss': 1.0007853173783847, 'train_loss': 0.14364731661497301, 'accuracy': 0.7967218160629272, 'similarity': 0.8083316087722778, 'fluency': 0.8322628140449524, 'joint': 0.5506349205970764, 'chrf': 9.999999999999843e-17}
{'val_loss': 1.0223063053829329, 'train_loss': 0.12545671362883767, 'accuracy': 0.8022407293319702, 'similarity': 0.808363676071167, 'fluency': 0.8364772200584412, 'joint': 0.5551201701164246, 'chrf': 9.999999999999843e-17}
{'val_loss': 1.0383285367063113, 'train_loss': 0.11397246845206212, 'accuracy': 0.7801893353462219, 'similarity': 0.812585175037384, 'fluency': 0.8367592692375183, 'joint': 0.5439993739128113, 'chrf': 9.999999999999843e-17}
